################################################################################
# ID   Description                                                             #
# 1    e+Ar(1S0)->e+Ar(1S0),Elastic                                            #
# 2    e+Ar(1S0)->e+Ar(eff),Excitation                                         #
# 3    e+Ar(1S0)->e+e+Ar(+,gnd),Ionization                                     #
#                                                                              #
# *** Extra rate coefficients ***                                              #
#                                                                              #
# ID   Description                                                             #
################################################################################

RedField(Td)          R1_ine(m^3s^-1)       R2_ine(m^3s^-1)       R3_ine(m^3s^-1)       
+3.51119173421513e+01 1.44104523292834e-13  7.99200414880243e-17  4.48027848492625e-18  
+4.03701725859656e+01 1.47181178634260e-13  1.00028169478511e-16  8.07836909999395e-18  
+4.64158883361278e+01 1.50426700402576e-13  1.24248056606220e-16  1.40485263987271e-17  
+5.33669923120631e+01 1.53601333027198e-13  1.52130998854482e-16  2.30510219137204e-17  
+6.13590727341317e+01 1.56899748068909e-13  1.85183420251983e-16  3.69119415008350e-17  
+7.05480231071865e+01 1.60156094299886e-13  2.23616547594228e-16  5.73513000422822e-17  
+8.11130830789687e+01 1.63598030419784e-13  2.69141868312475e-16  8.73725331523635e-17  
+9.32603346883220e+01 1.66790176344786e-13  3.18644810258902e-16  1.26979223435220e-16  
+1.07226722201032e+02 1.67667322194001e-13  3.84483696228588e-16  1.82214163958805e-16  
+1.23284673944207e+02 1.65526582013745e-13  4.73275922001553e-16  2.58994992352323e-16  
+1.41747416292680e+02 1.62721317112376e-13  5.84557828295659e-16  3.70282771585463e-16  
+1.62975083462065e+02 1.58914404793942e-13  7.15485560403695e-16  5.23346582079774e-16  
+1.87381742286039e+02 1.54994485770925e-13  8.77643861970760e-16  7.49129886072805e-16  
+2.15443469003188e+02 1.45196899423898e-13  1.09572464932272e-15  1.10338923588437e-15  
+2.47707635599171e+02 1.41070059696357e-13  1.31924719003384e-15  1.56433520061936e-15  
+2.84803586843580e+02 1.37498248596294e-13  1.57100877506222e-15  2.18629683708346e-15  
+3.27454916287773e+02 1.29630993600125e-13  1.89859333471360e-15  3.15440355254617e-15  
+3.76493580679247e+02 1.27676441502550e-13  2.20151610878499e-15  4.24566296588607e-15  
+4.32876128108306e+02 1.21197345320179e-13  2.55311958711145e-15  5.78146346315318e-15  
+4.97702356433211e+02 1.16195740226927e-13  2.92179930358980e-15  7.76576199194207e-15  
+5.72236765935022e+02 1.12040191950325e-13  3.27932407184903e-15  1.01794762478770e-14  
+6.57933224657568e+02 1.09600398053567e-13  3.63822780253612e-15  1.32471547419323e-14  
+7.56463327554629e+02 1.07121440654003e-13  3.93347646379548e-15  1.66639364949266e-14  
+8.69749002617783e+02 1.01192994883543e-13  4.19084596421941e-15  2.09147994287309e-14  
+1.00000000000000e+03 1.00572468527716e-13  4.38136992786355e-15  2.54831087977623e-14  
